Job Title and Description
Lehrbeauftragte:r (w/m/d) für Kurse in Finanzen und Buchhaltung
Professor:in (w/m/d) in Data Science und Finance
Lehrbeauftragte:r (w/m/d) für Deutschsprachkurse (A1.1 - B1.1)
